Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 172350271.30it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 107010330.23it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 65311418.31it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 20797520.49it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 1.1425, AE Loss: 0.2240, Discriminator Loss: 1.3334,         Generator Loss: 0.8283, Recon Loss: 0.2210, Loss Real 0.7182, Loss Fake 0.6152,          Accuracy 0.5625
====> Epoch 1 : Average loss: 1.4986, AE Loss: 0.2224, Discriminator Loss: 1.2809,         Generator Loss: 0.7795, Recon Loss: 0.2196, Loss Real 0.6286, Loss Fake 0.6522,          Accuracy 0.6719
====> Epoch 2 : Average loss: 1.5259, AE Loss: 0.1913, Discriminator Loss: 1.3753,         Generator Loss: 0.7335, Recon Loss: 0.1886, Loss Real 0.6996, Loss Fake 0.6757,          Accuracy 0.5000
====> Epoch 3 : Average loss: 1.5093, AE Loss: 0.1951, Discriminator Loss: 1.3033,         Generator Loss: 0.7337, Recon Loss: 0.1924, Loss Real 0.6317, Loss Fake 0.6716,          Accuracy 0.6406
====> Epoch 4 : Average loss: 1.4979, AE Loss: 0.1700, Discriminator Loss: 1.3241,         Generator Loss: 0.7735, Recon Loss: 0.1669, Loss Real 0.6603, Loss Fake 0.6638,          Accuracy 0.5781
====> Epoch 5 : Average loss: 1.4943, AE Loss: 0.1780, Discriminator Loss: 1.2406,         Generator Loss: 0.8159, Recon Loss: 0.1748, Loss Real 0.6077, Loss Fake 0.6330,          Accuracy 0.6406
====> Epoch 6 : Average loss: 1.4950, AE Loss: 0.1760, Discriminator Loss: 1.2734,         Generator Loss: 0.7523, Recon Loss: 0.1731, Loss Real 0.5808, Loss Fake 0.6926,          Accuracy 0.6094
====> Epoch 7 : Average loss: 1.4958, AE Loss: 0.1791, Discriminator Loss: 1.3063,         Generator Loss: 0.7901, Recon Loss: 0.1761, Loss Real 0.6706, Loss Fake 0.6357,          Accuracy 0.6094
====> Epoch 8 : Average loss: 1.4958, AE Loss: 0.1638, Discriminator Loss: 1.3383,         Generator Loss: 0.7957, Recon Loss: 0.1606, Loss Real 0.7120, Loss Fake 0.6262,          Accuracy 0.5469
====> Epoch 9 : Average loss: 1.4969, AE Loss: 0.1510, Discriminator Loss: 1.3570,         Generator Loss: 0.7623, Recon Loss: 0.1479, Loss Real 0.7039, Loss Fake 0.6531,          Accuracy 0.5781
====> Epoch 10 : Average loss: 1.4982, AE Loss: 0.1764, Discriminator Loss: 1.3260,         Generator Loss: 0.7586, Recon Loss: 0.1735, Loss Real 0.6621, Loss Fake 0.6638,          Accuracy 0.6250
====> Epoch 11 : Average loss: 1.4964, AE Loss: 0.2053, Discriminator Loss: 1.3851,         Generator Loss: 0.7339, Recon Loss: 0.2026, Loss Real 0.6900, Loss Fake 0.6951,          Accuracy 0.4531
====> Epoch 12 : Average loss: 1.4953, AE Loss: 0.1829, Discriminator Loss: 1.3240,         Generator Loss: 0.7918, Recon Loss: 0.1798, Loss Real 0.6869, Loss Fake 0.6371,          Accuracy 0.5625
====> Epoch 13 : Average loss: 1.4950, AE Loss: 0.1683, Discriminator Loss: 1.3633,         Generator Loss: 0.7421, Recon Loss: 0.1654, Loss Real 0.6847, Loss Fake 0.6786,          Accuracy 0.6250
====> Epoch 14 : Average loss: 1.4939, AE Loss: 0.1650, Discriminator Loss: 1.3759,         Generator Loss: 0.7363, Recon Loss: 0.1621, Loss Real 0.6690, Loss Fake 0.7069,          Accuracy 0.6094
====> Epoch 15 : Average loss: 1.4926, AE Loss: 0.1353, Discriminator Loss: 1.3654,         Generator Loss: 0.7868, Recon Loss: 0.1321, Loss Real 0.7208, Loss Fake 0.6446,          Accuracy 0.5781
====> Epoch 16 : Average loss: 1.4913, AE Loss: 0.1550, Discriminator Loss: 1.3456,         Generator Loss: 0.7832, Recon Loss: 0.1519, Loss Real 0.7081, Loss Fake 0.6375,          Accuracy 0.5156
====> Epoch 17 : Average loss: 1.4914, AE Loss: 0.1539, Discriminator Loss: 1.2757,         Generator Loss: 0.7985, Recon Loss: 0.1506, Loss Real 0.6294, Loss Fake 0.6463,          Accuracy 0.5781
====> Epoch 18 : Average loss: 1.4899, AE Loss: 0.1695, Discriminator Loss: 1.3115,         Generator Loss: 0.8071, Recon Loss: 0.1663, Loss Real 0.6700, Loss Fake 0.6415,          Accuracy 0.5781
====> Epoch 19 : Average loss: 1.4859, AE Loss: 0.1548, Discriminator Loss: 1.2244,         Generator Loss: 0.8637, Recon Loss: 0.1512, Loss Real 0.6514, Loss Fake 0.5730,          Accuracy 0.6406
====> Epoch 20 : Average loss: 1.4847, AE Loss: 0.1655, Discriminator Loss: 1.3735,         Generator Loss: 0.7347, Recon Loss: 0.1627, Loss Real 0.6823, Loss Fake 0.6912,          Accuracy 0.5625
====> Epoch 21 : Average loss: 1.4856, AE Loss: 0.1835, Discriminator Loss: 1.3461,         Generator Loss: 0.7463, Recon Loss: 0.1807, Loss Real 0.6765, Loss Fake 0.6696,          Accuracy 0.5312
====> Epoch 22 : Average loss: 1.4824, AE Loss: 0.1622, Discriminator Loss: 1.4314,         Generator Loss: 0.7383, Recon Loss: 0.1593, Loss Real 0.7481, Loss Fake 0.6833,          Accuracy 0.4844
====> Epoch 23 : Average loss: 1.4813, AE Loss: 0.1661, Discriminator Loss: 1.3101,         Generator Loss: 0.7670, Recon Loss: 0.1631, Loss Real 0.6509, Loss Fake 0.6592,          Accuracy 0.6719
====> Epoch 24 : Average loss: 1.4802, AE Loss: 0.1535, Discriminator Loss: 1.3712,         Generator Loss: 0.7503, Recon Loss: 0.1505, Loss Real 0.6848, Loss Fake 0.6864,          Accuracy 0.5469
====> Epoch 25 : Average loss: 1.4800, AE Loss: 0.1315, Discriminator Loss: 1.2064,         Generator Loss: 0.8480, Recon Loss: 0.1279, Loss Real 0.6122, Loss Fake 0.5941,          Accuracy 0.6719
====> Epoch 26 : Average loss: 1.4765, AE Loss: 0.1592, Discriminator Loss: 1.3374,         Generator Loss: 0.8006, Recon Loss: 0.1560, Loss Real 0.7205, Loss Fake 0.6170,          Accuracy 0.6719
====> Epoch 27 : Average loss: 1.4758, AE Loss: 0.1521, Discriminator Loss: 1.3362,         Generator Loss: 0.7462, Recon Loss: 0.1491, Loss Real 0.6757, Loss Fake 0.6605,          Accuracy 0.5781
====> Epoch 28 : Average loss: 1.4747, AE Loss: 0.1406, Discriminator Loss: 1.2717,         Generator Loss: 0.8197, Recon Loss: 0.1371, Loss Real 0.6741, Loss Fake 0.5976,          Accuracy 0.6719
====> Epoch 29 : Average loss: 1.4731, AE Loss: 0.1326, Discriminator Loss: 1.3802,         Generator Loss: 0.7647, Recon Loss: 0.1294, Loss Real 0.7107, Loss Fake 0.6695,          Accuracy 0.5312
====> Epoch 30 : Average loss: 1.4721, AE Loss: 0.1659, Discriminator Loss: 1.2629,         Generator Loss: 0.8058, Recon Loss: 0.1627, Loss Real 0.6597, Loss Fake 0.6032,          Accuracy 0.6875
====> Epoch 31 : Average loss: 1.4712, AE Loss: 0.1600, Discriminator Loss: 1.2874,         Generator Loss: 0.7679, Recon Loss: 0.1569, Loss Real 0.6399, Loss Fake 0.6475,          Accuracy 0.6875
====> Epoch 32 : Average loss: 1.4694, AE Loss: 0.1489, Discriminator Loss: 1.2918,         Generator Loss: 0.8089, Recon Loss: 0.1456, Loss Real 0.6745, Loss Fake 0.6172,          Accuracy 0.6406
